verb,year,register,source,frame,gracom,com,actcom,text
feign,2017,FIC,Bk:GatheringShadows ,fav,n,ignorant,ignorance,"  the crew of the Copper Thief to know that was a lie, but she feigned ignorance. "" Whose hands would those be? "" she asked, as the"
feign,2017,FIC,Bk:OperationZuluRedemption ,fav,n,ignorant,ignorance,"  "" There was an olive on there? "" Were her eyes big enough to feign ignorance? # Sam pinned her in the corner, thunder in his gaze."
feign,2016,SPOK,CNN: Anderson Cooper ,fav,n,ignorant,ignorance,"  my "" USA Today "" column. At that time, he's sort of feigned ignorance, you know. It didn't think it really had happened. But"
feign,2016,FIC,Highlights ,fav,n,ignorant,ignorance,"  between a smirk and a grimace as she tried to decide whether the bug was feigning ignorance or was just plain stupid. # "" Colonel Watkins is demanding that we"
feign,2016,FIC,Analog ,fav,n,ignorant,ignorance,  with the prowess of Teodorq sunna Nagarajan-but he smiled at the newcomer and decided to feign ignorance of ironman yashiq. People oft spoke incautiously when they thought no one heard
feign,2015,FIC,Confrontation ,fav,n,ignorant,ignorance,"  . "" He was perhaps less successful when, in telling a joke, he feigned ignorance of double entendres. For example: What is the difference between outlaws and"
feign,2014,FIC,Bk:UltraThinMan ,fav,n,ignorant,ignorance,"  talking about the fucking Movement! "" # "" Movement? "" Jennifer asked, feigning ignorance. # "" You know. Terl Plenko? Leader of the Movement?"
feign,2014,FIC,NewEnglandRev ,fav,n,ignorant,ignorance,"  , why should she stop, she didn't want to exchange perfunctory pleasantries or feign ignorance of his troubles, there were so few opportunities for getting her heart rate"
feign,2014,MAG,Smithsonian ,fav,n,ignorant,ignorance,"  much as mentioned his name. # "" Michael Rockefeller? "" I asked, feigning ignorance. # "" Yes, Michael Rockefeller, "" Amates said. "" He"
feign,2013,FIC,Bk:GlitteringPromises ,fav,n,ignorant,ignorance,"  # He reached down and tucked a strand of my hair behind my ear, feigning ignorance. "" Who? Hugh? Antonio? "" # I smiled back up"
feign,2013,MAG,Money ,fav,n,ignorant,ignorance,"  that customers knowing little about car repairsespecially womenare quoted higher prices. # Among shoppers feigning ignorance about the cost to replace a radiator, for example, men were given"
feign,2012,FIC,Analog ,fav,n,ignorant,ignorance,"  . "" # The lesson was one of the hardest of my entire life. Feigning ignorance of arithmetic is not easy when one has done original research on inductive progression"
feign,2012,MAG,Cosmopolitan ,fav,n,ignorant,ignorance,"  the right thing to say to her? # A. Experts say that when women feign ignorance, it's because they feel insecure and crave validation. So instead of"
feign,2012,NEWS,CSMonitor ,fav,n,ignorant,ignorance,"  the toy can do than a child who receives the toy from a teacher who feigns ignorance. Without limiting instruction from an adult, it seems, a child is"
feign,2011,FIC,Bk:ColdVengeance ,fav,n,ignorant,ignorance,"  on. The beams lanced through the cold mists. Esterhazy, who had been feigning ignorance and confusion, began to wonder if they hadn't gotten lost for real"
feign,2011,FIC,Bk:HellAmpGone ,fav,n,ignorant,ignorance,  ? Me? Undo a strap? Hardie let his hand drop and prepared to feign ignorance or incoherencewhatever would work best. He rolled his eyes around in a faux
feign,2009,FIC,Commentary ,fav,n,ignorant,ignorance,"  I psychic, or am I psychic? "" # I look at him, feigning ignorance. "" About what? "" I ask. # "" You know what"
feign,2008,ACAD,GeographRev ,fav,n,ignorant,ignorance,"  defend their actions, Commissioners Frank Durkee, C. Markland Kelly, and Alfred Cross feigned ignorance. All three men claimed not to know what bunkers or hazards were and"
feign,2007,FIC,Analog ,fav,n,ignorant,ignorance,"  sat on the other side of it a few days earlier. He might be feigning his ignorance, but I couldn't find any evidence of that. I gave"
feign,2006,FIC,Analog ,fav,n,ignorant,ignorance,"  refused to take the bait. It helped, Art supposed, that she could feign ignorance of the sneer. "" That is correct. The high density of storage"
feign,2006,FIC,FantasySciFi ,fav,n,ignorant,ignorance,"  considered undesirable back in the old country. "" # "" Really? "" I feigned ignorance. "" Why? "" # Thera shrugged, grinned. "" Bad Attitude"
feign,2006,FIC,BkJuv:WickedUnderCovers ,fav,n,ignorant,ignorance,"  has done nothing to you. "" The older woman did not even bother to feign ignorance. "" You should be grateful I chose our Lord Standish to be your"
feign,2006,FIC,BkJuv:RedHatSocietys ,fav,n,ignorant,ignorance,"  You've gone through it all, then? "" My stomach twisted. I feigned ignorance. And hauteur. "" What do you mean, I've gone through"
feign,2006,MAG,USCatholic ,fav,n,ignorant,ignorance,"  though. He requires her to turn over the spies. In response, Rahab feigns ignorance, saying that the men had departed. In the meantime she hides the"
feign,2004,FIC,Bk:SnowGarden ,fav,n,ignorant,ignorance,"  ? "" Silence settled. "" Sorry about earlier, "" Tim muttered. Kathryn feigned ignorance with silence. "" So what's his deal anyway? "" "" Jesse"
